261,363,5.0
928,767,5.0
651,429,4.0
1109,94,5.0
1349,603,5.0
762,544,5.0
386,785,5.0
1085,706,5.0
987,21,4.0
1115,464,4.0
431,439,5.0
595,45,3.0
309,697,5.0
709,778,5.0
621,645,4.0
3,574,5.0
16,443,5.0
243,233,5.0
17,548,5.0
636,506,3.0
427,658,5.0
1205,396,3.0
1235,799,5.0
1201,165,5.0
1196,167,5.0
343,134,5.0
1357,796,4.0
998,63,5.0
537,198,5.0
1247,465,5.0
1287,832,5.0
554,746,3.0
323,747,5.0
1093,597,5.0
456,843,3.0
365,145,3.0
1063,299,5.0
1014,531,5.0
1332,705,5.0
484,811,5.0
1322,779,5.0
1081,700,5.0
1120,258,1.0
217,596,4.0
233,821,5.0
1271,597,3.0
1319,213,5.0
79,465,1.0
268,341,5.0
103,692,5.0
1421,497,3.0
240,233,4.0
1263,198,5.0
640,212,4.0
178,706,5.0
889,278,5.0
2,706,5.0
1365,569,4.0
524,482,5.0
119,285,4.0
370,841,1.0
353,441,5.0
413,228,5.0
33,841,1.0
1380,574,5.0
213,696,5.0
1239,707,4.0
491,523,5.0
1388,164,4.0
1237,415,5.0
609,869,5.0
762,578,4.0
352,319,3.0
800,504,5.0
1135,862,5.0
919,690,5.0
1294,692,5.0
274,106,5.0
300,883,5.0
89,233,5.0
1125,574,5.0
1309,636,5.0
1167,153,5.0
910,431,5.0
648,279,3.0
626,166,4.0
947,94,4.0
240,610,2.0
225,338,5.0
338,327,5.0
428,463,2.0
541,463,5.0
1273,14,5.0
288,486,5.0
255,188,5.0
471,198,5.0
960,616,4.0
541,154,5.0
689,393,5.0
565,706,5.0
408,74,5.0
1194,38,5.0
466,876,3.0
766,762,5.0
1191,755,5.0
254,394,5.0
364,686,5.0
12,710,3.0
986,811,5.0
660,612,5.0
851,145,5.0
1378,832,4.0
913,303,5.0
325,303,5.0
1246,420,5.0
924,562,5.0
459,667,4.0
503,129,1.0
1383,544,5.0
810,546,4.0
142,707,5.0
930,208,3.0
1074,155,5.0
1277,443,5.0
122,566,5.0
226,455,5.0
1105,90,5.0
713,834,2.0
238,598,5.0
672,895,4.0
735,498,3.0
430,551,5.0
